State,State FIPS,County FIPS,all_fips,zone,sub_zone,County Name
AK,02,013,02013,7,7,Aleutians East
AK,02,016,02016,7,7,Aleutians West
AK,02,020,02020,7,7,Anchorage
AK,02,050,02050,8,8,Bethel
AK,02,060,02060,7,7,Bristol Bay
AK,02,068,02068,7,7,Denali
AK,02,070,02070,8,8,Dillingham
AK,02,090,02090,8,8,Fairbanks North Star
AK,02,100,02100,7,7,Haines
AK,02,105,02105,7,7,Hoonah-Angoon
AK,02,110,02110,7,7,Juneau
AK,02,122,02122,7,7,Kenai Peninsula
AK,02,130,02130,7,7,Ketchikan Gateway
AK,02,150,02150,7,7,Kodiak Island
AK,02,158,02158,8,8,Kusilvak
AK,02,164,02164,7,7,Lake and Peninsula
AK,02,170,02170,7,7,Matanuska-Susitna
AK,02,180,02180,8,8,Nome
AK,02,185,02185,8,8,North Slope
AK,02,188,02188,8,8,Northwest Arctic
AK,02,195,02195,7,7,Petersburg
AK,02,198,02198,7,7,Prince of Wales-Hyder
AK,02,220,02220,7,7,Sitka
AK,02,230,02230,7,7,Skagway
AK,02,240,02240,8,8,Southeast Fairbanks
AK,02,261,02261,7,7,Valdez-Cordova
AK,02,275,02275,7,7,Wrangell
AK,02,282,02282,7,7,Yakutat
AK,02,290,02290,8,8,Yukon-Koyukuk
AL,01,001,01001,3,3A,Autauga
AL,01,003,01003,2,2A,Baldwin
AL,01,005,01005,3,3A,Barbour
AL,01,007,01007,3,3A,Bibb
AL,01,009,01009,3,3A,Blount
AL,01,011,01011,3,3A,Bullock
AL,01,013,01013,3,3A,Butler
AL,01,015,01015,3,3A,Calhoun
AL,01,017,01017,3,3A,Chambers
AL,01,019,01019,3,3A,Cherokee
AL,01,021,01021,3,3A,Chilton
AL,01,023,01023,3,3A,Choctaw
AL,01,025,01025,3,3A,Clarke
AL,01,027,01027,3,3A,Clay
AL,01,029,01029,3,3A,Cleburne
AL,01,031,01031,3,3A,Coffee
AL,01,033,01033,3,3A,Colbert
AL,01,035,01035,3,3A,Conecuh
AL,01,037,01037,3,3A,Coosa
AL,01,039,01039,3,3A,Covington
AL,01,041,01041,3,3A,Crenshaw
