target,source,value
electricity,ceiling_fan,82861.156
electricity,ceiling_fan,219579.587
electricity,ceiling_fan,442523.027
electricity,ceiling_fan,147442.423
electricity,ceiling_fan,1866538.223
electricity,ceiling_fan,15163.466
electricity,ceiling_fan,37222.836
electricity,ceiling_fan,64940.806
electricity,ceiling_fan,16529.158
electricity,ceiling_fan,272870.473
electricity,ceiling_fan,20533.584
electricity,ceiling_fan,21281.496
electricity,ceiling_fan,37871.544
electricity,ceiling_fan,9518.88
electricity,ceiling_fan,224101.632
electricity,ceiling_fan,1278.677
electricity,ceiling_fan,1238.232
electricity,ceiling_fan,1401.471
electricity,ceiling_fan,380.995
electricity,ceiling_fan,16335.568
electricity,ceiling_fan,14006.647
electricity,ceiling_fan,19731.163
electricity,ceiling_fan,52584.78
electricity,ceiling_fan,16671.815
electricity,ceiling_fan,283217.77
electricity,ceiling_fan,12896.537
electricity,ceiling_fan,20009.306
electricity,ceiling_fan,84357.921
electricity,ceiling_fan,33661.925
electricity,ceiling_fan,308590.59
electricity,ceiling_fan,32228.208
electricity,ceiling_fan,43922.832
electricity,ceiling_fan,78870.72
electricity,ceiling_fan,26856.84
electricity,ceiling_fan,478527.696
electricity,ceiling_fan,3998.669
electricity,ceiling_fan,3250.459
electricity,ceiling_fan,12096.223
electricity,ceiling_fan,2870.046
electricity,ceiling_fan,45747.629
electricity,ceiling_fan,42757.31
electricity,ceiling_fan,142040.282
electricity,ceiling_fan,162981.229
electricity,ceiling_fan,107824.473
electricity,ceiling_fan,801705.799
electricity,ceiling_fan,13318.269
electricity,ceiling_fan,17470.492
electricity,ceiling_fan,12473.658
electricity,ceiling_fan,3184.205
electricity,ceiling_fan,98283.646
electricity,ceiling_fan,11315.982
electricity,ceiling_fan,248232.495
electricity,ceiling_fan,549394.911
electricity,ceiling_fan,203752.733
electricity,ceiling_fan,567168.025
electricity,ceiling_fan,8672.512
electricity,ceiling_fan,149589.491
electricity,ceiling_fan,158616.893
electricity,ceiling_fan,43618.132
electricity,ceiling_fan,449964.939
electricity,ceiling_fan,8792.17
electricity,ceiling_fan,13344.711
electricity,ceiling_fan,13385.733
electricity,ceiling_fan,4112.372
electricity,ceiling_fan,74033.767
electricity,ceiling_fan,299.816
electricity,ceiling_fan,299.816
electricity,ceiling_fan,245.304
electricity,ceiling_fan,27.256
electricity,ceiling_fan,1635.36
electricity,ceiling_fan,12780.196
electricity,ceiling_fan,6646.826
electricity,ceiling_fan,14030.43
electricity,ceiling_fan,1961.517
electricity,ceiling_fan,96420.303
electricity,ceiling_fan,30319.402
electricity,ceiling_fan,9807.927
electricity,ceiling_fan,17030.678
electricity,ceiling_fan,2520.415
electricity,ceiling_fan,132186.328
electricity,ceiling_fan,59557.117
electricity,ceiling_fan,29553.036
electricity,ceiling_fan,59424.956
electricity,ceiling_fan,11896.07
electricity,ceiling_fan,395966.307
electricity,ceiling_fan,81044.168
electricity,ceiling_fan,48390.701
electricity,ceiling_fan,83915.373
electricity,ceiling_fan,23229.246
electricity,ceiling_fan,522193.57
electricity,ceiling_fan,11110.832
electricity,ceiling_fan,3440.63
electricity,ceiling_fan,6119.28
electricity,ceiling_fan,1631.808
electricity,ceiling_fan,59522.897
electricity,ceiling_fan,14854.931
electricity,ceiling_fan,50441.469
electricity,ceiling_fan,283059.894
electricity,ceiling_fan,72968.727
electricity,ceiling_fan,349009.258
electricity,ceiling_fan,251402.284
electricity,ceiling_fan,150003.927
electricity,ceiling_fan,449372.295
electricity,ceiling_fan,145639.552
electricity,ceiling_fan,1582533.326
electricity,ceiling_fan,46875.58
electricity,ceiling_fan,16598.086
electricity,ceiling_fan,32953.514
electricity,ceiling_fan,11411.608
electricity,ceiling_fan,185446.692
electricity,ceiling_fan,124037.75
electricity,ceiling_fan,58228.893
electricity,ceiling_fan,189954.319
electricity,ceiling_fan,51066.83
electricity,ceiling_fan,874694.51
electricity,ceiling_fan,106777.461
electricity,ceiling_fan,75169.658
electricity,ceiling_fan,315667.778
electricity,ceiling_fan,212674.442
electricity,ceiling_fan,1052122.194
electricity,ceiling_fan,15327.01
electricity,ceiling_fan,10382.899
electricity,ceiling_fan,23243.131
electricity,ceiling_fan,5130.198
electricity,ceiling_fan,126740.385
electricity,ceiling_fan,168872.695
electricity,ceiling_fan,124995.533
electricity,ceiling_fan,386589.107
electricity,ceiling_fan,60003.551
electricity,ceiling_fan,1425575.156
electricity,ceiling_fan,6834.995
electricity,ceiling_fan,3458.237
electricity,ceiling_fan,4765.047
electricity,ceiling_fan,1879.172
electricity,ceiling_fan,38042.95
electricity,ceiling_fan,57695.782
electricity,ceiling_fan,44701.77
