energy_type,element,value
fuel_oil,heating_hp_bkup,0
fuel_oil,heating,0
fuel_oil,hot_water,0
natural_gas,clothes_dryer,0
natural_gas,fireplace,0
natural_gas,grill,0
natural_gas,heating_hp_bkup,0
natural_gas,heating,0
natural_gas,hot_tub_heater,0
natural_gas,hot_water,0
natural_gas,lighting,0
natural_gas,pool_heater,0
natural_gas,range_oven,0
propane,clothes_dryer,0
propane,heating_hp_bkup,0
propane,heating,0
propane,hot_water,0
propane,range_oven,0
fuel_oil,heating,0.293
electricity,heating_hp_bkup,0.879
electricity,heating_hp_bkup,4.982
electricity,heating_fans_pumps,8.792
electricity,heating_hp_bkup,10.844
electricity,heating_fans_pumps,11.137
propane,heating,11.137
electricity,mech_vent,16.412
fuel_oil,heating,16.998
electricity,clothes_washer,20.222
electricity,clothes_washer,21.687
electricity,mech_vent,21.98
electricity,heating_fans_pumps,23.152
electricity,clothes_washer,24.911
electricity,ceiling_fan,27.256
electricity,range_oven,28.428
electricity,lighting_exterior,29.307
electricity,heating_hp_bkup,31.066
electricity,clothes_washer,32.238
electricity,lighting_exterior,32.824
electricity,heating_hp_bkup,34.582
electricity,lighting_exterior,34.582
electricity,lighting_exterior,51.874
propane,heating,56.27
electricity,clothes_dryer,59.2
electricity,clothes_washer,59.2
electricity,clothes_washer,64.476
electricity,clothes_washer,67.699
electricity,ceiling_fan,67.992
electricity,heating_fans_pumps,68.576
electricity,heating_fans_pumps,82.939
propane,heating,91.731
propane,heating,98.179
electricity,mech_vent,98.764
electricity,heating_hp_bkup,111.366
electricity,heating_hp_bkup,120.45
electricity,clothes_washer,125.434
electricity,mech_vent,131.296
electricity,clothes_washer,131.589
electricity,clothes_washer,131.882
electricity,heating_hp_bkup,147.708
electricity,heating_hp_bkup,154.742
electricity,dishwasher,167.637
electricity,cooling_fans_pumps,169.688
electricity,cooling_fans_pumps,174.376
electricity,ceiling_fan,177.014
electricity,mech_vent,186.1
electricity,mech_vent,186.684
fuel_oil,heating,186.979
electricity,heating_hp_bkup,194.013
electricity,dishwasher,194.014
electricity,dishwasher,199.289
electricity,dishwasher,201.34
electricity,heating_fans_pumps,217.458
electricity,heating,218.631
electricity,clothes_washer,222.147
electricity,lighting_exterior,232.698
electricity,clothes_washer,235.63
electricity,clothes_washer,240.902
electricity,heating,240.904
electricity,mech_vent,240.904
electricity,ceiling_fan,244.422
electricity,ceiling_fan,245.008
electricity,ceiling_fan,245.304
electricity,well_pump,245.887
electricity,lighting_interior,247.645
electricity,well_pump,258.196
electricity,ceiling_fan,270.795
electricity,lighting_exterior,273.143
electricity,clothes_washer,274.9
propane,clothes_dryer,274.901
propane,clothes_dryer,275.194
electricity,well_pump,276.366
electricity,mech_vent,279.88
electricity,ceiling_fan,299.816
electricity,well_pump,300.984
electricity,clothes_washer,303.329
electricity,dishwasher,305.966
electricity,mech_vent,307.136
electricity,cooling_fans_pumps,307.724
electricity,ceiling_fan,313.292
electricity,clothes_washer,313.584
electricity,dishwasher,316.224
electricity,freezer,319.741
electricity,clothes_washer,325.014
electricity,lighting_interior,325.602
electricity,cooling_fans_pumps,326.188
electricity,well_pump,327.067
propane,clothes_dryer,327.36
electricity,mech_vent,329.116
natural_gas,lighting,330.291
electricity,cooling_fans_pumps,332.343
natural_gas,lighting,340.549
natural_gas,clothes_dryer,344.065
propane,clothes_dryer,344.065
electricity,range_oven,345.531
natural_gas,lighting,346.703
electricity,clothes_dryer,347.582
propane,clothes_dryer,351.392
electricity,ceiling_fan,352.857
electricity,heating_hp_bkup,357.245
natural_gas,lighting,358.133
electricity,dishwasher,361.357
electricity,clothes_dryer,369.856
electricity,heating_fans_pumps,371.321
electricity,mech_vent,373.076
electricity,mech_vent,377.768
natural_gas,lighting,378.941
electricity,cooling_fans_pumps,380.699
electricity,ceiling_fan,380.995
propane,heating,384.509
electricity,range_oven,389.491
electricity,dishwasher,390.665
electricity,heating_hp_bkup,392.129
propane,clothes_dryer,393.008
electricity,heating_hp_bkup,401.507
electricity,well_pump,402.387
electricity,ceiling_fan,406.488
electricity,heating_fans_pumps,407.075
electricity,ceiling_fan,407.368
electricity,ceiling_fan,407.952
electricity,clothes_washer,410.591
electricity,clothes_washer,414.693
natural_gas,lighting,416.161
electricity,range_oven,416.454
electricity,lighting_exterior,416.455
propane,clothes_dryer,419.092
propane,heating,425.539
natural_gas,clothes_dryer,427.591
natural_gas,lighting,427.884
electricity,refrigerator,434.038
electricity,heating_fans_pumps,438.728
natural_gas,clothes_dryer,439.314
propane,clothes_dryer,439.314
natural_gas,lighting,439.607
electricity,dishwasher,443.123
natural_gas,lighting,445.175
electricity,clothes_washer,452.206
electricity,mech_vent,455.136
electricity,clothes_washer,463.346
natural_gas,lighting,468.621
natural_gas,lighting,472.431
electricity,lighting_garage,474.481
propane,clothes_dryer,475.068
electricity,ceiling_fan,475.944
electricity,clothes_washer,476.825
electricity,dishwasher,480.343
electricity,heating_hp_bkup,486.205
natural_gas,lighting,486.498
electricity,dishwasher,489.43
propane,clothes_dryer,498.221
electricity,clothes_washer,498.803
electricity,mech_vent,499.096
electricity,ceiling_fan,503.787
natural_gas,clothes_dryer,503.789
natural_gas,lighting,515.219
electricity,dishwasher,517.565
electricity,heating_fans_pumps,520.491
electricity,heating_fans_pumps,525.474
propane,clothes_dryer,527.235
propane,clothes_dryer,534.562
electricity,mech_vent,536.32
electricity,heating_hp_bkup,540.129
natural_gas,grill,540.423
electricity,mech_vent,542.472
electricity,heating_hp_bkup,543.647
propane,range_oven,543.94
electricity,clothes_washer,547.161
electricity,dishwasher,549.803
propane,range_oven,555.956
electricity,lighting_interior,570.609
electricity,clothes_washer,574.125
electricity,mech_vent,580.572
electricity,dishwasher,583.799
natural_gas,heating,589.953
electricity,dishwasher,604.02
electricity,dishwasher,609.004
electricity,clothes_washer,609.585
propane,clothes_dryer,619.259
electricity,hot_tub_pump,619.845
propane,heating,620.138
propane,clothes_dryer,622.776
electricity,ceiling_fan,623.358
propane,range_oven,624.828
electricity,well_pump,625.413
electricity,hot_tub_heater,627.172
electricity,well_pump,632.448
electricity,lighting_exterior,636.844
electricity,freezer,639.482
natural_gas,clothes_dryer,641.533
propane,clothes_dryer,641.533
natural_gas,grill,647.101
natural_gas,clothes_dryer,655.893
propane,clothes_dryer,655.893
electricity,lighting_exterior,658.238
electricity,range_oven,659.996
natural_gas,lighting,660.582
electricity,cooling_fans_pumps,661.168
electricity,cooling,661.461
electricity,lighting_exterior,663.807
electricity,cooling_fans_pumps,669.961
electricity,hot_tub_pump,674.063
natural_gas,lighting,676.994
electricity,dishwasher,679.926
electricity,hot_tub_pump,682.856
electricity,hot_tub_heater,691.355
natural_gas,range_oven,694.872
propane,range_oven,694.872
electricity,mech_vent,702.484
