classname,axis,value
fuel_oil,heating,702845599.7
natural_gas,heating,4942827828
propane,heating,559696183.9
electricity,heating,1231665653
fuel_oil,hot_water,57923598.49
natural_gas,hot_water,1130382417
propane,hot_water,80501395.14
electricity,hot_water,509882134
fuel_oil,heating_hp_bkup,0
natural_gas,heating_hp_bkup,0
propane,heating_hp_bkup,0
electricity,heating_hp_bkup,0
fuel_oil,range_oven,0
natural_gas,range_oven,135950038.8
propane,range_oven,19239443.95
electricity,range_oven,0
fuel_oil,clothes_dryer,0
natural_gas,clothes_dryer,61065444.11
propane,clothes_dryer,3762393.962
electricity,clothes_dryer,0
fuel_oil,pool_heater,0
natural_gas,pool_heater,33595573.79
propane,pool_heater,0
electricity,pool_heater,0
fuel_oil,cooling,0
natural_gas,cooling,0
propane,cooling,0
electricity,cooling,1436115191
fuel_oil,plug_loads,0
natural_gas,plug_loads,0
propane,plug_loads,0
electricity,plug_loads,1241999364
fuel_oil,lighting_interior,0
natural_gas,lighting_interior,0
propane,lighting_interior,0
electricity,lighting_interior,524211857
