timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(1, 0)",409486.54489354836,5381650.609177419,158254.23287096774,2166990.543967742,4425.613723370968,3050528.760298387,159696.8822835484
"(1, 1)",403092.5509532258,5264819.675024193,137096.3114314516,1884845.6787096774,4723.897926491936,3209367.9394919355,165873.0762080645
"(1, 2)",376516.8768096774,4964649.235943548,114026.37509999999,1596507.906532258,3995.6207940806453,3198804.421322581,165336.3558951613
"(1, 3)",352977.6693491936,4718424.864129032,101960.85395387097,1460589.8866854839,3765.0768728870967,3093190.7212258065,160869.57070725807
"(1, 4)",347132.4923798387,4713879.832927419,99590.27027443549,1436608.0576048389,3983.844030653226,3109064.264056452,164222.93642258065
"(1, 5)",364541.7047782258,5038216.11091129,102700.8902966129,1482801.0214112904,4276.08791416129,3374563.778266129,176544.8857532258
"(1, 6)",393298.55350403226,5492884.402362904,106527.253495,1568564.0487096773,4339.910429193548,3729890.86066129,190060.83430161292
"(1, 7)",443950.0690032258,6157232.8193225805,117030.79528443549,1712559.3150967741,4560.673668096774,4231904.83016129,208189.99500403224
"(1, 8)",502183.3633830645,6968423.295733871,129457.25566048388,1902941.6015483872,4936.172670620967,4832696.678298387,227824.18303225806
"(1, 9)",569915.9248080646,7870050.165774194,146219.6009983871,2148494.882298387,5125.243545516129,5466327.530854839,250070.07650645162
"(1, 10)",579947.4049596775,8173075.187717741,139505.94654016127,2323189.4633870968,5263.440679443548,5589154.403241935,255449.86272822582
"(1, 11)",475015.1112846774,7645192.927024193,66818.65586891693,2339816.676185484,6162.940128782258,5066881.633233871,232318.47384274192
"(1, 12)",331039.9529202419,6716556.114596775,-18307.701612840323,2268796.8207177417,5441.598347701613,4244153.161395161,198142.7081532258
"(1, 13)",196880.02783464518,5871155.808048387,-100519.14927807258,2149165.0345403226,4426.795462830645,3546840.2725483873,170704.74534032258
"(1, 14)",100843.3400694363,5159110.323806452,-153812.5444665968,2034066.341233871,3480.7165936209676,2977191.6612258065,144372.09348346773
"(1, 15)",56838.373692571775,4669198.267201613,-163762.90867317742,1993707.069298387,2695.4670290241934,2547284.172532258,125510.61485032258
"(1, 16)",35444.28374478225,4154542.5823064516,-146599.12378889517,1937483.7287258063,2317.9605000298384,2110569.9165564515,104158.53989169355
"(1, 17)",57609.774299233875,3880782.2348225806,-97991.62955479839,1940533.2242903227,2024.7082751387095,1847417.6230887098,90795.74820274195
"(1, 18)",129558.3500671371,3951103.0500403224,-21575.835666562096,2028586.709451613,1944.441554855645,1832426.5323064518,88126.11348887098
"(1, 19)",239074.58652524193,4299427.042548387,74181.70765912098,2171460.5382903228,2095.36828336371,2031290.4769516129,94565.92229709678
"(1, 20)",349591.1794572581,4765908.239169355,160047.22473483873,2326454.596177419,2306.115064069355,2327099.984330645,110039.43228459678
"(1, 21)",378373.5108370968,5076551.428459677,175132.64487258065,2445583.900016129,2663.3042583258066,2505418.8458790323,122869.24401645162
"(1, 22)",386563.9130040322,5200101.480814517,176942.04501854838,2458953.8980080644,3146.643138985484,2604912.509532258,133082.96670959677
"(1, 23)",394160.6275830645,5259427.398951613,170380.99363467743,2353676.1811451614,3860.1631210080645,2756481.1938548386,145421.05007362904
"(2, 0)",371381.98614910716,4770483.638991071,156648.41413214288,2097515.9985625,3355.1060272857144,2541904.213,127704.81348535714
"(2, 1)",368698.29085625004,4669106.217785714,135129.06145714285,1802884.462107143,3629.2059588660713,2726268.3284910717,136326.09098571428
"(2, 2)",348465.2805473214,4396152.750026786,110715.1903325,1491904.1942500002,3147.2157981964288,2762555.808482143,138551.24575732142
"(2, 3)",339736.2370946429,4290967.278116072,100320.71782133928,1370026.7317678572,3073.759776419643,2777284.749223214,140576.6727844643
"(2, 4)",343038.5122160714,4364408.553785714,99210.92329446429,1355584.4815625001,3327.546317857143,2859222.8808214287,146274.02022339284
