timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(1, 0)",24722.078305645162,2970774.895475806,11557.559571016129,1308923.5016532259,71529.86973919354,1493161.5193717743,97158.81033282258
"(1, 1)",24324.525125725806,2879347.819733871,10783.349563104839,1213713.8266241935,74955.78738548387,1496479.7499491936,94196.02582459677
"(1, 2)",23738.76806217742,2669670.0467580645,9850.723387943548,1065384.35845,76247.99287967742,1439006.4972217742,89031.1776957258
"(1, 3)",22071.8315525,2454981.5634354837,8883.427565911292,949480.4682483871,71243.6398514516,1352664.4211032258,81596.89020540322
"(1, 4)",20824.913290806453,2318490.245483871,8334.948099790323,887096.8050637097,69841.11196774193,1285643.471144355,75910.46863112904
"(1, 5)",20632.055127177417,2373111.8018467743,8791.558373032258,890455.441416129,74370.58027435483,1328005.8391274195,80273.84216709677
"(1, 6)",20775.612150725807,2471479.3462419356,8694.762595427419,913870.0473556451,76167.31584169355,1396521.9270201614,84914.32874854839
"(1, 7)",22906.276387580645,2657036.4718870968,9565.110331443548,979364.0923032259,79817.26096056451,1507202.5408241937,90652.4813216129
"(1, 8)",23723.707608064517,2898932.0027258066,10266.077660750001,1075061.7101951612,89119.96381403226,1636239.2097903225,98510.05758814517
"(1, 9)",27096.86588120968,3169540.1657580645,11212.722049999998,1204258.380175,93787.72825879033,1763489.9804274195,107997.55587919355
"(1, 10)",28455.05535709677,3381133.5188467745,12014.466650145163,1307193.168983871,94539.37693338709,1862601.551967742,116795.86658354838
"(1, 11)",27188.666721532256,3486978.4335645163,11485.545121830646,1356341.302717742,93159.33815516128,1919567.2067096774,117911.29415290323
"(1, 12)",25770.90384153226,3463902.399370968,9978.711107032257,1350957.0920080645,97329.74479733872,1899199.6357500001,116413.76242830645
"(1, 13)",23174.518655798387,3341026.892387097,7783.730991291935,1307658.3124919357,91349.92278032258,1825480.821701613,116534.86868806453
"(1, 14)",21864.082899435485,3171318.422120968,5842.797077385726,1242229.6682564516,86003.35917701613,1732823.8361693549,110257.82060233872
"(1, 15)",20221.637869209677,3036409.6467338707,4869.992775043064,1190631.2116056453,83568.6937483871,1654181.9504346773,108026.3754492742
