timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(1, 0)",386971.61484112905,53341788.265403226,42332.26093346774,7112029.965443549,6315798.492951613,36705741.03145161,3208205.3373387097
"(1, 1)",379683.4841935484,53072705.25588709,38752.180122661295,6784047.537766129,6355500.586411291,36709021.07,3224134.292032258
"(1, 2)",386483.2931935484,53561882.61766129,37191.188820322575,6719726.902701613,6491350.392032258,37079971.19290323,3270820.28641129
"(1, 3)",395038.8419870968,54580225.71056452,37695.84843153226,6782502.716653226,6658017.757483871,37798808.55580645,3340874.1012258064
"(1, 4)",407870.4048669355,56131340.36629032,39254.89096870968,6991341.302709677,6860392.054201612,38838011.793467745,3441570.3613387095
"(1, 5)",422376.0902645161,58118058.93064516,41928.827707096774,7373148.062258065,7072120.814201613,40099289.91435484,3573478.118766129
"(1, 6)",441590.59826370963,60666896.749758065,47654.96450064516,8090098.88157258,7290323.53157258,41567385.54580645,3719070.3219435485
"(1, 7)",453399.28409193543,62742573.58798387,50823.39915758064,8849404.337032259,7415890.159798387,42661669.45596774,3815590.8682096773
"(1, 8)",427805.6114032258,63237399.15532258,32212.942004194356,9301320.615387097,7269699.185201613,42840118.8632258,3826264.1153225806
"(1, 9)",382233.44503548386,61903803.59709677,3331.259952328226,9422505.576790323,6874540.339959677,41882458.34193548,3724296.710330645
"(1, 10)",342711.1065967742,59352291.25733871,-18981.161687040323,9252367.701733872,6412952.706491936,40135178.628467746,3551787.014508065
"(1, 11)",303686.17345161294,56244555.14241935,-34189.1528445758,8897545.340387097,5967192.104290323,38031170.83451613,3348635.038637097
"(1, 12)",281212.37707903225,53479369.50080646,-40421.530910483954,8583645.303346774,5623165.148814516,36105827.19943549,3166728.0756209674
"(1, 13)",265085.04125725804,50403420.65879032,-35598.44711356613,8125855.736935484,5244140.46867742,34069036.36919355,2964386.289451613
"(1, 14)",264209.67561774194,47698137.24548387,-20431.12225079113,7723784.480330645,4965896.316177419,32220559.54120968,2787894.7010241933
"(1, 15)",284231.4243983871,46556271.73169354,3843.7185247782263,7656146.712758064,4897126.92225,31303505.496854838,2699501.1916532256
"(1, 16)",324594.9456,47579839.115806445,35043.93389904839,8074611.28383871,5062260.3182500005,31715392.68298387,2727572.783137097
"(1, 17)",363036.02506290324,49856518.71040323,57938.82121629032,8863358.099491935,5337320.857766129,32824887.489758063,2830945.8125403225
"(1, 18)",381016.1320693548,52164738.01637097,64840.55094040323,9661357.770419355,5573312.566548387,33990829.464032255,2939224.63383871
"(1, 19)",389747.80296612903,53547439.092096776,66109.03821483871,10069021.24367742,5761018.121403226,34714797.19709677,3002595.324564516
"(1, 20)",398181.8122862903,54343158.36137097,65879.22073620968,10039391.937201614,5916881.522620968,35332472.477419354,3054416.65216129
"(1, 21)",401405.8024185484,54876304.0933871,61612.005306532265,9602216.54775,6087185.760798387,36071738.44314516,3115155.617048387
"(1, 22)",401204.2714943548,54853978.34629032,55527.750888225804,8833133.94575,6222752.683798387,36630270.61112903,3167821.1760403225
"(1, 23)",393618.14621451613,53891830.09951613,47277.49787282258,7798069.859056451,6253215.149814516,36657996.02548387,3182557.102620968
"(2, 0)",288391.14378303575,41641566.970714286,35947.42087678571,5977498.420178571,4467163.129857143,28661807.3075,2535095.567732143
"(2, 1)",279091.6730142857,40904459.48964286,32455.26688857143,5593407.151321428,4458088.995705357,28331963.2925,2521012.872366071
"(2, 2)",284536.2470053571,41312407.82589286,30910.576959910715,5511441.097044642,4571990.497857143,28667220.392589282,2561737.8413125
"(2, 3)",291808.75493660715,42298210.311696425,31115.945134464284,5563854.213732143,4703381.588776786,29398941.86285714,2632012.3063125
"(2, 4)",303266.37942767853,43740644.35428572,32492.944203660714,5759184.183437499,4870414.6063303575,30381547.539017856,2729484.054535714
